grid_id,grid_row,grid_column,cell_area_m2,cell_area_km2,image_count,eligible_street_length_m,covered_street_length_m,uncovered_street_length_m,street_coverage_pct,image_density_per_km2,images_per_km_street,uncovered_street_km_per_km2,centroid_lon,centroid_lat
G0101,1,1,32.77712349212774,3.277712349212774e-05,0,0.0,0.0,0.0,,0.0,,0.0,28.91991010143385,40.98894375523237
G0102,1,2,145442.46452248548,0.14544246452248547,971,1218.4218927882255,1131.1143878060532,87.3075049821723,92.83437818222565,6676.179499487806,796.9324958352254,0.6002889545967129,28.922891058033482,40.98923685352119
G0103,1,3,8896.472827248195,0.008896472827248196,0,0.0,0.0,0.0,,0.0,,0.0,28.926317980893646,40.99008423478033
G0202,2,2,170702.5380424788,0.17070253804247879,384,3158.380034863095,1241.961803123455,1916.4182317396399,39.322747402602864,2249.527185731959,121.58131566223794,11.226653415444504,28.923929799196717,40.99290087214726
G0203,2,3,145076.30031260537,0.14507630031260538,810,3610.6229896964314,1477.1413002820627,2133.4816894143687,40.91098141504538,5583.268929898544,224.33801654492373,14.705928430882347,28.92799785296901,40.99325274934075
G0204,2,4,49.26677325971403,4.926677325971403e-05,0,0.0,0.0,0.0,,0.0,,0.0,28.932021990975507,40.99496668309037
G0302,3,2,222364.1209678318,0.2223641209678318,321,3640.667620527904,538.4332742989275,3102.2343462289764,14.789410361521924,1443.578211281834,88.17064161255522,13.951146132418366,28.92346402690369,40.99748131848868
G0303,3,3,250000.0,0.25,747,6747.770000678615,1671.4724797501149,5076.2975209285005,24.770738771209107,2988.0,110.70323972584647,20.305190083714002,28.929085665326152,40.99730399318005
G0304,3,4,58956.47939974374,0.05895647939974374,483,1715.6151185260765,1355.0682504173922,360.5468681086843,78.984396662438,8192.483759505141,281.53167618093516,6.115474868573164,28.932910700816237,40.99781040883576
G0305,3,5,99186.5496832659,0.0991865496832659,163,208.52562157946795,203.72430648844932,4.801315091018637,97.69749393160836,1643.3679820551342,781.678523556788,0.04840691713090896,28.941802865014555,40.99824455786437
G0306,3,6,162735.27589568042,0.1627352758956804,184,0.0,0.0,0.0,,1130.6706489252588,,0.0,28.9468734204875,40.99778742033114
G0307,3,7,70212.73063329647,0.07021273063329647,216,90.89022526873357,59.31134866317974,31.57887660555383,65.25602559330764,3076.365184087683,2376.4931747210057,0.44975998399040196,28.951898485473542,40.99828409426638
G0308,3,8,16947.928590197924,0.016947928590197923,0,0.0,0.0,0.0,,0.0,,0.0,28.958324144819688,40.998427633689666
G0402,4,2,236405.9200936357,0.2364059200936357,1161,5175.361157331577,1744.4383096280988,3430.9228477034776,33.70660049795508,4911.044526888967,224.33217020135714,14.512846574842783,28.92342891913853,41.00184434432603
G0403,4,3,250000.0,0.25,1208,8245.781562663527,2108.599591785911,6137.181970877617,25.57185848014142,4832.0,146.49915121081565,24.548727883510466,28.929216965214223,41.00180555466508
G0404,4,4,211605.32378614828,0.21160532378614827,1328,7321.459999334329,2872.507700621461,4448.952298712868,39.23408310477188,6275.834540638014,181.38458724362934,21.024765441199627,28.93485773477538,41.0019834950047
G0405,4,5,245820.3326991234,0.2458203326991234,1312,6458.725109706386,3879.8886694385246,2578.8364402678617,60.07205142711058,5337.231406345251,203.1360644267524,10.490736921360687,28.941144902284186,41.00161602761319
G0406,4,6,250000.0,0.25,1392,5564.231673937597,3346.454582273942,2217.7770916636555,60.14225823752917,5568.0,250.1693102607523,8.871108366654623,28.947042770701973,41.00150573068937
G0407,4,7,175269.49550908917,0.17526949550908918,1450,5699.32930208644,3386.723869693199,2312.6054323932412,59.42320034838782,8272.974117876693,254.41590109018205,13.194568887620912,28.952281151838267,41.001699258161054
G0408,4,8,97945.71597154444,0.09794571597154444,488,3996.6014128949423,2110.2156589235165,1886.3857539714259,52.800253037867485,4982.351654275268,122.1037450533544,19.259502421927937,28.959004788530187,41.00263974826054
G0409,4,9,72619.7413868545,0.0726197413868545,1040,2869.196931663762,2459.1359034816955,410.06102818206637,85.708160229201,14321.174657725496,362.4707626453981,5.646688081655643,28.96484319807914,41.00272067830302
G0410,4,10,103257.65895836073,0.10325765895836073,866,3983.715554402263,2144.2080335894448,1839.5075208128183,53.82432566551988,8386.787079389624,217.38499854564517,17.81473199537296,28.97115409609003,41.00238738975393
G0411,4,11,108352.93184430405,0.10835293184430406,632,3521.1560885645044,1950.7979186602472,1570.3581699042572,55.402199436593094,5832.790947531922,179.48650502956036,14.492991958544854,28.97651260308537,41.00223953906657
G0412,4,12,16717.455461092264,0.016717455461092264,117,527.071758818812,412.7935918485326,114.27816697027936,78.31829062016506,6998.6727509041375,221.98115919206427,6.835858916223653,28.980640170672,41.00272187024389
G0502,5,2,199711.23940271995,0.19971123940271995,338,3908.7246794333773,590.9296044006117,3317.7950750327655,15.11822020900881,1692.4435550591081,86.4732176657164,16.612961218183592,28.923991955063354,41.00631852913298
G0503,5,3,250000.0,0.25,526,6622.136041496722,1245.7658507226356,5376.370190774087,18.8121452491494,2104.0,79.43056390021165,21.505480763096347,28.929348294839333,41.006307112276296
G0504,5,4,250000.0,0.25,1761,6551.470249292573,2935.5763252375687,3615.893924055004,44.807901334125,7044.0,268.7946267008009,14.463575696220015,28.93529066373985,41.00620746133112
G0505,5,5,250000.0,0.25,602,5450.763350304596,1513.8058468920142,3936.957503412582,27.77236415533286,2408.0,110.44324644297012,15.747830013650328,28.941233002804317,41.006107504249435
G0506,5,6,250000.0,0.25,1150,4606.9467814023255,2404.8201754744878,2202.1266059278378,52.19986879775667,4600.0,249.62302682601148,8.808506423711352,28.94717531194138,41.00600724103568
G0507,5,7,250000.0,0.25,1586,7292.339516014888,3209.991438518767,4082.3480774961213,44.01867783952221,6344.0,217.4885023546896,16.329392309984485,28.953117591059687,41.00590667169433
G0508,5,8,250000.0,0.25,949,8123.4094561181555,2407.926484556841,5715.482971561314,29.64182093201406,3796.0,116.8228691568981,22.861931886245255,28.959059840067912,41.00580579622983
G0509,5,9,250000.0,0.25,466,9065.75846699587,1313.2437211814045,7752.514745814466,14.485756773272776,1864.0,51.40220773545701,31.010058983257863,28.965002058874713,41.005704614646646
G0510,5,10,250000.0,0.25,753,8270.5765196784,2140.1768653378986,6130.399654340501,25.876997331996378,3012.0,91.04564817317963,24.521598617362002,28.97094424738875,41.005603126949296
G0511,5,11,250000.0,0.25,3381,5140.557669798929,3758.863738679125,1381.693931119804,73.12171130308809,13524.0,657.710742136708,5.526775724479216,28.976886405518698,41.00550133314227
G0512,5,12,193858.01536878306,0.19385801536878305,722,4616.05182058382,2403.065834648541,2212.9859859352787,52.058900724052336,3724.3752786105515,156.41072242310406,11.415499027602422,28.982355085004485,41.00576056864221
G0513,5,13,6395.947453371283,0.006395947453371283,87,231.5100973473392,231.5100973473392,0.0,100.0,13602.363157962247,375.7935441989477,0.0,28.98612383819413,41.00703287837029
G0602,6,2,180894.93790940312,0.18089493790940311,134,4035.1163680335644,814.4331896653872,3220.6831783681773,20.18363574635359,740.7614693292893,33.2084598752978,17.80416420486669,28.924355203054137,41.0109379582982
G0603,6,3,250000.0,0.25,815,7270.731375927605,2301.9496945012083,4968.781681426397,31.660497073549553,3260.0,112.09326240525861,19.875126725705588,28.929479654209146,41.01080866601351
G0604,6,4,250000.0,0.25,1469,6104.935998538602,2979.819296505138,3125.1167020334638,48.81000058343685,5876.0,240.62496320217755,12.500466808133854,28.93542242708015,41.01070899935945
G0605,6,5,250000.0,0.25,1587,7379.693109603555,2638.2850501807943,4741.408059422761,35.75060657668088,6348.0,215.04959304266453,18.965632237691043,28.941365170107403,41.0106090265207
G0606,6,6,250000.0,0.25,2105,8660.560336559613,4904.82099231979,3755.7393442398225,56.63399135520853,8420.0,243.0558668489349,15.02295737695929,28.947307883199528,41.01050874750165
G0607,6,7,250000.0,0.25,1670,9562.863436803158,3837.601478530513,5725.261958272646,40.130254958586065,6680.0,174.63388565948998,22.901047833090583,28.953250566265154,41.01040816230682
G0608,6,8,250000.0,0.25,1182,6661.94173243935,3460.1195958733006,3201.8221365660493,51.938604911909614,4728.0,177.4257487489607,12.807288546264196,28.95919321921293,41.0103072709406
G0609,6,9,250000.0,0.25,1459,8655.81786816271,2647.127573400444,6008.690294762267,30.582061842323917,5836.0,168.55715106557437,24.034761179049067,28.965135841951483,41.0102060734075
G0610,6,10,250000.0,0.25,1330,7943.489198562151,1387.0700677832463,6556.419130778904,17.461722841321667,5320.0,167.43271964676973,26.225676523115617,28.97107843438947,41.010104569712034
G0611,6,11,250000.0,0.25,4773,5323.589638722842,3515.8701915742963,1807.719447148546,66.04322327927913,19092.0,896.57549208565,7.230877788594183,28.97702099643552,41.01000275985868
G0612,6,12,250000.0,0.25,1664,1415.4524498818946,1030.567419007242,384.88503087465256,72.80833906453252,6656.0,1175.5958316641752,1.5395401234986101,28.982963527998294,41.00990064385196
